location,Bed,Bath,Ft,price
Texas,4.0,2.5,1889.0,239000.0
Texas,3.0,1.0,1228.0,180000.0
Texas,2.0,1.0,1032.0,195000.0
Texas,3.0,2.0,2331.0,290000.0
Texas,4.0,2.0,1754.0,265000.0
Texas,2.0,1.0,907.0,160000.0
Texas,3.0,1.0,1269.0,190000.0
Texas,3.0,1.0,1364.0,180000.0
Texas,3.0,2.5,1664.0,266000.0
Texas,4.0,2.0,2185.0,340000.0
Texas,3.0,2.0,2144.0,363990.0
Texas,5.0,2.5,2728.0,414990.0
Texas,5.0,2.5,2728.0,414990.0
Texas,3.0,2.0,2144.0,363990.0
Texas,4.0,3.0,2325.0,384990.0
Texas,4.0,3.0,2325.0,384990.0
Texas,4.0,3.0,2144.0,381990.0
Texas,4.0,3.0,2012.0,356900.0
Texas,4.0,3.0,2144.0,381990.0
Texas,3.0,2.0,2126.0,364990.0
Texas,4.0,2.0,2045.0,356990.0
Texas,4.0,2.0,2045.0,356990.0
Texas,3.0,2.0,2126.0,364990.0
Texas,4.0,3.5,2795.0,423090.0
Texas,3.0,2.0,1754.0,295882.0
Texas,3.0,2.5,2447.0,344990.0
Texas,4.0,3.0,2012.0,324990.0
Texas,4.0,3.0,2486.0,390990.0
Texas,4.0,2.0,1788.0,329990.0
Texas,4.0,3.0,2486.0,390990.0
Texas,4.0,2.0,1788.0,329990.0
Texas,4.0,3.0,2471.0,374990.0
Texas,3.0,2.5,2447.0,351990.0
Texas,3.0,2.0,1508.0,289990.0
Texas,5.0,3.5,2739.0,372990.0
Texas,4.0,3.0,2471.0,374990.0
Texas,5.0,3.0,2739.0,372990.0
Texas,3.0,2.0,1689.0,304000.0
Texas,3.0,2.0,1605.0,312990.0
Texas,3.0,2.0,1605.0,312990.0
Texas,3.0,2.0,1798.0,327990.0
Texas,5.0,3.5,2930.0,383990.0
Texas,5.0,3.0,2930.0,383990.0
Texas,3.0,2.0,1798.0,327990.0
Texas,5.0,3.5,2930.0,376990.0
Texas,5.0,3.0,2930.0,376990.0
Texas,3.0,2.0,1619.0,284990.0
Texas,3.0,2.0,2097.0,321990.0
Texas,4.0,2.0,1749.0,302990.0
Texas,4.0,2.0,2000.0,311990.0
Texas,4.0,2.0,1882.0,306990.0
Texas,4.0,3.0,2277.0,336990.0
Texas,4.0,2.5,2699.0,355990.0
Texas,3.0,2.0,1751.0,301990.0
Texas,4.0,2.5,2897.0,359990.0
Texas,4.0,3.0,2423.0,351990.0
Texas,4.0,3.0,2325.0,457990.0
Texas,4.0,2.5,2517.0,340990.0
Texas,3.0,2.0,1590.0,296990.0
Texas,3.0,2.0,1550.0,291990.0
Texas,4.0,2.5,2697.0,350990.0
Texas,5.0,3.0,2736.0,364990.0
Texas,4.0,2.5,1860.0,312990.0
Texas,4.0,3.0,2575.0,425000.0
Texas,4.0,2.5,2513.0,375000.0
Texas,4.0,3.0,2792.0,513990.0
Texas,4.0,3.0,2366.0,365000.0
Texas,5.0,3.5,3780.0,400000.0
Texas,3.0,2.0,1629.0,334900.0
Texas,4.0,3.0,1991.0,444000.0
Texas,4.0,2.5,2282.0,298000.0
Texas,3.0,3.0,2445.0,440000.0
Texas,4.0,2.0,2129.0,294900.0
Texas,4.0,3.5,2853.0,324000.0
Texas,3.0,2.0,1825.0,309000.0
Texas,4.0,2.0,1890.0,305000.0
Texas,4.0,3.0,2200.0,320000.0
Texas,4.0,2.5,2452.0,330000.0
Texas,3.0,2.0,1626.0,315000.0
Texas,4.0,2.5,2182.0,355000.0
Texas,3.0,2.0,1604.0,312000.0
Texas,3.0,3.0,2163.0,340000.0
Texas,4.0,2.5,2561.0,359000.0
Texas,4.0,3.5,3367.0,335000.0
Texas,3.0,2.5,2127.0,355000.0
Texas,4.0,3.0,2127.0,334999.0
Texas,3.0,2.5,2123.0,339950.0
Texas,4.0,2.0,1804.0,336000.0
Texas,3.0,2.0,1835.0,321422.0
Texas,4.0,2.0,2164.0,349999.0
Texas,3.0,2.0,1932.0,316990.0
Texas,2.0,1.5,1008.0,450000.0
Texas,2.0,1.0,722.0,150000.0
Texas,3.0,1.0,1412.0,219900.0
Texas,3.0,2.5,1419.0,231000.0
Texas,4.0,2.5,2232.0,279990.0
Texas,3.0,1.0,1019.0,135000.0
Texas,5.0,3.0,2202.0,375000.0
Texas,3.0,2.0,1480.0,265000.0
Texas,2.0,1.0,720.0,98000.0
Texas,5.0,2.5,3707.0,1265000.0
Texas,3.0,2.5,1664.0,250000.0
Texas,4.0,3.0,2643.0,369000.0
Texas,4.0,2.0,1732.0,259900.0
Texas,4.0,2.0,1720.0,269000.0
Texas,3.0,2.0,1457.0,196000.0
Texas,3.0,2.0,1800.0,139000.0
Texas,4.0,2.0,1696.0,230000.0
Texas,3.0,2.5,2448.0,280000.0
Texas,3.0,2.5,2770.0,495000.0
Texas,3.0,2.0,1695.0,275000.0
Texas,3.0,2.5,1650.0,280000.0
Texas,4.0,3.5,2780.0,464999.0
Texas,3.0,1.5,1148.0,137000.0
Texas,2.0,1.0,,139810.0
Texas,2.0,1.0,798.0,189000.0
Texas,3.0,2.0,1492.0,250000.0
Texas,3.0,2.0,1638.0,289000.0
Texas,2.0,1.0,1120.0,160000.0
Texas,3.0,1.5,1716.0,213000.0
Texas,3.0,2.0,2014.0,259900.0
Texas,3.0,1.0,1356.0,175000.0
Texas,4.0,2.5,2510.0,365000.0
Texas,4.0,1.5,1814.0,240000.0
Texas,5.0,3.0,2425.0,150000.0
Texas,4.0,2.0,1964.0,249999.0
Texas,5.0,3.0,2894.0,265000.0
Texas,4.0,3.5,2916.0,549000.0
Texas,2.0,2.0,1197.0,248888.0
Texas,3.0,2.0,1758.0,449900.0
Texas,3.0,2.0,2080.0,499900.0
Texas,3.0,2.0,1636.0,240000.0
Texas,4.0,1.0,1204.0,214975.0
Texas,3.0,1.0,1224.0,179900.0
Texas,3.0,1.0,1334.0,165000.0
Texas,5.0,2.5,2517.0,400000.0
Texas,3.0,2.0,1236.0,199900.0
Texas,3.0,1.5,1474.0,179500.0
Texas,3.0,4.0,2877.0,649000.0
Texas,3.0,1.5,1370.0,132000.0
Texas,3.0,2.0,1485.0,210500.0
Texas,3.0,2.5,1470.0,210000.0
Texas,3.0,2.0,1363.0,169950.0
Texas,3.0,2.5,2180.0,535000.0
Texas,3.0,1.0,1158.0,155000.0
Texas,3.0,1.0,848.0,119900.0
Texas,4.0,2.0,1899.0,249900.0
Texas,3.0,2.5,2024.0,325000.0
Texas,5.0,3.5,3549.0,450000.0
Texas,3.0,2.0,1348.0,245000.0
Texas,3.0,2.0,1456.0,249900.0
Texas,4.0,2.0,1311.0,228700.0
Texas,5.0,3.5,3040.0,372500.0
Texas,4.0,1.5,1839.0,223777.0
Texas,2.0,1.0,768.0,55000.0
Texas,3.0,2.0,2028.0,259900.0
Texas,5.0,3.5,3055.0,429900.0
Texas,4.0,2.0,1962.0,259990.0
Texas,5.0,2.0,2092.0,199990.0
Texas,4.0,2.5,2565.0,325000.0
Texas,4.0,3.5,2821.0,379000.0
Texas,4.0,2.0,1507.0,199999.0
Texas,3.0,2.5,1914.0,290000.0
Texas,3.0,2.0,1178.0,169990.0
Texas,4.0,3.0,1820.0,305000.0
Texas,3.0,2.5,2290.0,335000.0
Texas,3.0,2.0,1476.0,295000.0
Texas,3.0,2.0,2043.0,199000.0
Texas,4.0,2.0,965.0,154990.0
Texas,4.0,3.5,2920.0,399000.0
Texas,5.0,2.0,2820.0,175000.0
Texas,5.0,2.0,1768.0,179000.0
Texas,3.0,1.0,1931.0,219000.0
Texas,4.0,3.5,2984.0,410000.0
Texas,4.0,2.0,1796.0,302000.0
Texas,4.0,1.0,1274.0,174900.0
Texas,3.0,2.5,2308.0,240000.0
Texas,4.0,2.0,1577.0,244900.0
